trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.99, 'e': 0.19238531289396707}",20,0,-34.853213166928334,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
165,False,"{'a': 0.99, 'e': 0.1904614597650274}",25,0,13.487864917361131,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
166,False,"{'a': 0.99, 'e': 0.1885568451673771}",20,5,-38.578562933946266,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
167,False,"{'a': 0.99, 'e': 0.18667127671570335}",20,0,-57.49280249541518,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
168,False,"{'a': 0.99, 'e': 0.1848045639485463}",25,0,2.595575893376669,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
169,False,"{'a': 0.99, 'e': 0.18295651830906084}",20,12,-25.626893252663013,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.99, 'e': 0.18112695312597024}",25,20,8.744372493052865,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.99, 'e': 0.17931568359471053}",25,13,10.764686343436402,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.99, 'e': 0.17752252675876343}",20,0,9.171693443054885,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
173,False,"{'a': 0.99, 'e': 0.1757473014911758}",20,3,1.531268837873329,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.99, 'e': 0.173989828476264}",25,13,7.5114405855645,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.99, 'e': 0.1722499301915014}",30,13,-23.960268722624914,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
176,False,"{'a': 0.99, 'e': 0.17052743088958636}",35,13,15.626530474679406,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.99, 'e': 0.1688221565806905}",30,15,4.84494445608302,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
178,False,"{'a': 0.99, 'e': 0.1671339350148836}",20,11,2.1230756063294107,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.99, 'e': 0.16546259566473476}",20,0,13.06559096997741,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
